var_0;var_4
concludente;sim
concludente;sim
concludente;nao
concludente;sim
concludente;sim
concludente;nao
concludente;nao
concludente;nao
concludente;sim
concludente;sim
concludente;nao
evadido;sim
evadido;sim
concludente;sim
concludente;nao
concludente;nao
concludente;nao
evadido;nao
concludente;sim
concludente;sim
concludente;nao
concludente;sim
concludente;sim
concludente;sim
concludente;sim
concludente;sim
concludente;sim
concludente;sim
concludente;sim
concludente;nao
concludente;sim
concludente;sim
concludente;nao
concludente;sim
evadido;sim
concludente;sim
concludente;nao
concludente;sim
concludente;nao
concludente;nao
concludente;sim
evadido;sim
evadido;nao
evadido;nao
concludente;nao
concludente;nao
concludente;sim
concludente;nao
concludente;sim
concludente;sim
concludente;sim
evadido;nao
concludente;nao
evadido;nao
concludente;nao
concludente;sim
concludente;nao
concludente;sim
concludente;sim
concludente;nao
concludente;nao
evadido;nao
concludente;sim
concludente;sim
concludente;sim
concludente;sim
concludente;sim
concludente;sim
concludente;sim
concludente;nao
concludente;nao
concludente;sim
concludente;sim
concludente;nao
concludente;sim
concludente;nao
evadido;sim
concludente;sim
concludente;sim
concludente;sim
evadido;nao
concludente;nao
concludente;sim
concludente;nao
concludente;sim
evadido;nao
concludente;sim
concludente;sim
concludente;nao
evadido;nao
concludente;nao
concludente;nao
concludente;sim
concludente;sim
concludente;sim
concludente;sim
concludente;sim
evadido;nao
concludente;nao
evadido;nao
concludente;nao
concludente;nao
concludente;nao
concludente;nao
evadido;nao
concludente;sim
concludente;nao
concludente;nao
concludente;nao
concludente;sim
concludente;sim
concludente;nao
concludente;sim
concludente;sim
evadido;sim
concludente;nao
concludente;nao
concludente;nao
concludente;nao
concludente;sim
concludente;sim
concludente;nao
concludente;sim
concludente;sim
concludente;nao
concludente;sim
concludente;sim
evadido;nao
concludente;sim
concludente;sim
evadido;nao
concludente;sim
concludente;sim
concludente;sim
concludente;sim
concludente;nao
concludente;nao
concludente;sim
evadido;sim
concludente;sim
concludente;sim
concludente;nao
evadido;sim
concludente;nao
evadido;nao
concludente;nao
concludente;nao
evadido;sim
evadido;sim
concludente;nao
concludente;nao
concludente;sim
evadido;sim
concludente;sim
evadido;nao
evadido;sim
concludente;sim
concludente;nao
concludente;nao
concludente;sim
concludente;nao
concludente;nao
evadido;nao
concludente;sim
concludente;sim
concludente;sim
concludente;nao
concludente;sim
evadido;sim
concludente;nao
concludente;sim
concludente;sim
concludente;sim
concludente;sim
concludente;nao
concludente;sim
concludente;sim
evadido;nao
concludente;sim
evadido;sim
concludente;sim
concludente;nao
concludente;sim
evadido;nao
concludente;nao
evadido;sim
concludente;sim
concludente;nao
evadido;nao
concludente;sim
concludente;sim
concludente;sim
concludente;sim
concludente;nao
concludente;nao
concludente;sim
evadido;nao
concludente;nao
evadido;sim
concludente;sim
concludente;nao
concludente;sim
concludente;nao
evadido;nao
concludente;sim
concludente;sim
concludente;nao
concludente;sim
concludente;nao
concludente;nao
evadido;sim
concludente;sim
evadido;sim
concludente;nao
evadido;sim
concludente;sim
concludente;sim
evadido;nao
evadido;nao
concludente;sim
concludente;sim
evadido;nao
concludente;nao
concludente;sim
concludente;sim
concludente;nao
concludente;sim
evadido;nao
concludente;sim
