model,n_repetitions,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max
Random Forest,1,0.7391304347826086,0.0,0.7391304347826086,0.7391304347826086,0.38461538461538464,0.0,0.38461538461538464,0.38461538461538464,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.7927927927927928,0.0,0.7927927927927928,0.7927927927927928
Perceptron,1,0.782608695652174,0.0,0.782608695652174,0.782608695652174,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.7957957957957957,0.0,0.7957957957957957,0.7957957957957957
Decision Tree,1,0.5652173913043478,0.0,0.5652173913043478,0.5652173913043478,0.2962962962962963,0.0,0.2962962962962963,0.2962962962962963,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.7372372372372372,0.0,0.7372372372372372,0.7372372372372372
SVM,1,0.782608695652174,0.0,0.782608695652174,0.782608695652174,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.7597597597597597,0.0,0.7597597597597597,0.7597597597597597
Naive Bayes,1,0.5,0.0,0.5,0.5,0.23076923076923078,0.0,0.23076923076923078,0.23076923076923078,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.34285714285714286,0.0,0.34285714285714286,0.34285714285714286,0.563063063063063,0.0,0.563063063063063,0.563063063063063
MLP,1,0.7391304347826086,0.0,0.7391304347826086,0.7391304347826086,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.25,0.0,0.25,0.25,0.7207207207207208,0.0,0.7207207207207208,0.7207207207207208
KNN,1,0.782608695652174,0.0,0.782608695652174,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5090090090090089,0.0,0.5090090090090089,0.5090090090090089
