var_0;var_1;var_2;var_3;var_4;var_5;var_9;var_11;var_14;var_16;var_23;var_30;var_31;var_18;var_19;var_20
0;6;12;20;0;0;3;2;1;0;1;1;1;1;1;3
1;4;9;7;0;1;4;2;1;0;1;2;0;2;0;4
0;3;19;23;0;1;3;1;3;0;0;1;4;5;0;1
0;0;25;23;0;0;0;1;3;0;0;1;0;1;0;2
0;4;6;21;0;0;0;0;3;0;0;2;7;2;0;3
0;2;22;22;0;0;0;2;3;0;1;2;3;5;1;4
1;1;10;14;0;0;3;1;3;0;1;1;0;5;0;2
0;7;19;21;1;1;3;2;3;0;1;2;1;6;1;0
0;2;19;21;0;1;3;2;3;0;1;1;1;6;1;0
0;0;19;22;0;0;4;2;3;0;1;3;2;5;1;2
0;0;19;22;0;0;4;2;3;0;1;5;2;2;1;0
0;1;19;22;1;0;0;2;1;1;1;2;2;1;0;0
0;2;23;22;1;0;4;2;3;0;0;6;1;0;0;0
0;0;22;23;0;0;0;0;3;0;1;2;2;1;0;2
0;5;11;13;1;1;4;0;1;0;1;5;5;0;1;0
0;7;25;23;1;1;3;1;1;0;1;1;3;1;0;0
1;4;19;21;1;1;3;0;1;0;0;5;2;0;1;2
0;4;10;14;0;0;0;2;1;0;1;1;1;5;1;0
0;2;10;22;0;0;3;2;3;0;1;2;2;1;1;1
0;2;22;22;0;0;3;2;1;0;1;0;2;5;1;4
0;4;17;21;0;0;4;0;1;0;0;7;2;0;1;4
0;1;25;22;1;0;4;1;3;1;1;3;2;4;0;4
0;5;3;8;1;0;3;0;3;0;1;2;3;5;0;0
0;1;26;23;0;1;3;1;2;0;1;4;4;1;0;0
0;4;1;6;1;0;4;0;0;0;1;2;0;0;0;0
0;5;15;21;1;1;0;0;3;0;0;2;4;0;0;0
0;7;26;23;0;1;3;1;1;0;1;2;1;5;0;0
0;1;16;22;1;0;0;0;1;0;1;1;1;1;0;0
0;7;13;16;1;0;3;2;3;0;1;2;3;5;1;0
1;2;8;10;0;0;0;0;2;0;0;4;4;3;0;2
0;0;16;23;1;0;0;1;3;1;0;2;3;1;0;0
0;5;11;14;1;1;5;1;3;0;0;1;1;5;1;0
1;2;9;6;0;0;3;1;2;0;1;0;1;3;0;2
0;0;3;6;1;1;4;1;1;0;1;2;3;4;0;1
0;4;11;13;1;0;4;0;1;0;0;5;5;0;1;0
0;2;24;21;1;1;3;2;1;0;1;7;4;2;0;0
0;0;23;20;1;0;0;2;3;0;1;4;4;6;0;1
0;4;11;14;0;0;0;2;1;0;1;1;2;0;0;4
0;2;23;22;0;0;4;2;1;0;0;7;5;4;0;0
0;5;16;22;1;1;4;1;3;0;1;7;2;2;0;1
1;5;12;16;1;1;3;1;1;0;1;2;2;0;0;0
0;0;22;23;1;0;0;2;3;1;1;8;0;5;0;4
0;7;19;22;1;1;3;1;1;0;1;0;4;5;1;0
0;0;1;5;0;0;3;0;1;0;1;1;1;6;1;4
1;3;15;15;1;1;0;1;3;0;0;7;1;3;0;2
0;1;26;23;0;0;0;1;2;0;1;5;6;5;0;0
1;3;26;23;0;1;0;0;3;0;1;2;3;6;0;0
0;7;15;18;0;1;0;2;1;0;1;2;1;1;1;0
0;0;3;11;0;1;4;2;1;0;1;2;5;6;1;0
1;0;9;10;1;1;1;2;1;1;1;1;1;2;1;2
1;1;9;10;1;1;0;2;3;1;1;5;2;1;0;2
0;4;21;22;0;1;3;2;1;0;1;1;1;1;1;4
0;4;12;17;0;0;4;0;3;0;1;1;1;1;0;0
0;2;18;23;1;0;0;0;1;0;1;4;4;5;0;3
1;5;3;5;1;0;0;0;3;0;0;2;2;0;0;2
0;5;16;22;1;1;4;1;1;0;1;8;5;3;0;4
1;5;15;13;0;1;3;1;0;0;1;2;4;0;0;0
1;5;5;4;1;1;4;0;3;0;0;2;1;3;0;1
0;4;22;24;1;0;3;0;3;0;0;2;1;2;1;1
0;0;23;23;0;0;4;2;4;0;0;4;2;5;1;0
0;0;22;23;0;0;4;2;2;0;1;6;2;3;0;4
0;1;14;23;1;0;4;2;3;0;1;3;2;2;0;0
0;0;14;22;0;1;3;2;1;0;0;1;4;5;1;4
0;5;2;11;0;0;4;2;3;0;0;5;2;3;1;0
1;0;3;2;0;0;0;2;1;1;1;2;2;0;0;4
0;2;20;17;1;0;4;2;1;0;0;1;3;1;0;3
0;5;25;23;1;0;3;1;1;0;1;0;0;5;1;0
0;4;17;22;1;1;3;0;1;0;1;5;2;1;1;0
0;6;8;12;0;0;4;0;1;0;1;7;1;0;1;4
0;4;1;4;1;0;3;1;1;0;1;4;2;5;1;0
1;1;12;9;1;1;4;1;1;1;1;2;2;0;0;0
0;5;25;23;0;1;0;1;1;0;1;0;1;5;0;4
0;3;23;22;1;0;3;1;3;0;1;3;3;5;0;0
0;3;24;22;1;0;3;1;3;0;1;1;1;6;0;0
0;4;9;16;1;0;4;0;3;0;1;7;2;2;1;0
0;4;17;22;1;0;4;0;1;0;1;1;5;2;0;2
0;0;7;9;0;1;4;2;0;1;1;2;1;2;1;0
0;4;23;23;1;0;4;2;1;0;1;5;2;0;1;0
0;5;23;22;1;0;0;1;1;0;0;4;2;2;0;0
1;5;7;13;0;1;0;0;3;0;0;0;1;1;0;2
0;0;11;13;1;0;3;2;1;0;1;5;1;1;1;0
1;4;1;1;1;1;0;0;1;1;1;5;1;0;0;1
0;4;1;8;1;0;4;0;3;0;1;5;5;0;0;0
0;4;26;23;0;0;3;1;1;0;1;3;3;5;0;0
0;0;22;23;1;0;0;2;3;0;1;1;1;6;0;4
1;2;6;7;0;0;4;2;1;1;1;1;2;0;0;2
0;5;24;21;0;0;4;0;3;0;1;1;2;1;0;0
1;4;18;20;1;0;0;1;1;0;0;7;1;0;0;2
0;5;24;23;1;0;0;0;3;1;1;1;1;1;0;3
0;5;19;22;0;1;0;1;1;0;1;2;2;2;0;1
1;4;3;1;0;0;4;0;2;0;0;3;6;0;0;2
0;3;5;15;1;0;0;2;3;0;0;5;1;0;1;4
0;4;23;22;1;1;0;2;3;0;1;2;5;6;1;0
0;2;25;23;1;0;0;1;2;0;1;2;1;6;0;4
0;4;7;20;1;0;3;0;1;0;0;3;0;1;0;0
0;4;5;12;0;0;3;2;1;0;1;5;2;4;0;2
0;4;24;22;0;1;4;1;3;0;1;5;2;1;1;0
0;4;18;23;1;1;3;2;3;0;1;2;1;2;0;3
1;2;5;6;0;1;4;2;1;0;1;3;3;3;1;2
0;3;14;22;0;0;3;1;3;0;1;1;4;5;1;2
1;1;27;9;1;0;4;1;3;0;1;5;5;0;0;0
0;7;13;17;1;1;0;1;1;0;1;2;0;2;0;0
0;2;24;23;0;0;0;2;3;0;0;1;3;5;1;0
0;4;25;23;1;0;4;0;3;0;1;7;2;2;0;0
0;3;7;12;0;0;3;1;1;0;0;2;2;1;1;1
1;7;25;22;0;1;3;1;3;0;1;2;5;1;0;0
0;5;23;20;1;1;3;0;1;0;1;1;4;5;0;1
0;1;20;23;1;1;3;2;3;0;1;2;0;1;1;2
0;6;7;17;0;0;0;0;2;0;0;2;2;2;1;3
0;4;20;18;1;1;3;2;1;0;1;4;1;4;0;1
0;2;15;22;0;1;3;2;2;1;1;0;0;1;0;4
0;4;18;22;0;0;3;1;3;0;0;2;1;1;0;2
1;4;17;17;1;1;0;0;1;0;0;1;2;6;0;4
0;6;12;20;1;0;0;2;2;0;0;2;4;6;1;2
1;4;4;10;1;1;0;0;3;1;1;4;2;0;0;4
0;4;7;12;0;1;3;2;1;0;1;1;2;2;1;2
1;5;27;26;1;0;0;0;0;1;1;1;1;2;0;1
0;7;23;20;1;1;0;1;1;0;1;1;1;5;0;0
0;4;7;9;1;0;4;1;1;0;1;5;7;0;0;0
1;4;5;6;0;0;4;0;1;1;1;5;5;0;0;1
1;4;3;9;0;1;4;0;1;1;0;5;5;1;0;2
0;4;5;13;1;0;4;0;1;0;0;7;5;0;0;4
0;5;14;17;1;1;4;0;1;0;1;5;6;1;1;2
1;4;5;6;0;0;0;0;1;1;1;2;3;4;0;2
0;4;19;21;0;0;4;2;3;0;0;3;3;0;1;0
0;0;11;19;1;0;4;2;1;0;1;2;2;1;1;4
0;4;16;24;1;0;0;2;3;0;1;3;4;6;1;2
0;4;4;12;0;0;3;2;3;1;1;1;1;3;0;2
0;4;12;19;1;1;4;2;1;0;0;5;4;3;0;4
1;4;16;17;0;0;0;1;1;0;1;3;1;2;0;1
0;4;14;19;1;0;4;0;3;0;1;5;2;4;0;4
