"Carimbo de data/hora","Qual a sua situação atual em relação ao curso ?","Qual a sua Universidade","Qual o estado onde se localiza sua universidade","Qual o curso que você ingressou?","Em qual  turno você  estava matriculado?","Em qual ano e semestre você ingressou no curso? Exemplo 2010.1","Em qual semestre você concluiu ou desistiu do curso? Exemplo 2015.2","Em relação ao seu aproveitamento acadêmico, até o segundo semestre do curso você foi?","Com relação ao ingresso na universidade a qual se matriculou, esta sempre foi a sua primeira opção de Universidade?","Com relação ao ingresso no curso, este sempre foi a sua primeira opção de curso?","Antes de ingressar no curso, você já possuía algum conhecimento prévio na área?","Antes de ingressar na universidade, em que tipo de escola você cursou o ensino médio?","Caso tenha cursado o ensino médio em escola pública, qual foi o tipo de instituição?","Antes de ingressar no ensino médio, em que tipo de escola você cursou o ensino fundamental?","Caso tenha cursado o ensino fundamental em escola pública, qual foi o tipo de instituição?","Antes de ingressar na universidade, você morava na mesma cidade onde se localiza o curso ao qual se matriculou?","Ao ingressar na universidade você se mudou para morar na mesma cidade do campus que se matriculou?","Você chegou a morar em vila acadêmica?","Qual seu gênero?","A qual raça você se considera pertencer?","Quando estava matriculado na universidade, qual era o seu Estado Civil?","Quando ingressou na universidade, qual era o sua idade?","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Quando estava na universidade, você tinha filhos?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Quando estava na universidade, você  trabalhava?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você foi contemplado alguma bolsa durante o período que esteve no curso?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você considera que, durante o período que esteve no curso, teve o devido acompanhamento da universidade? Exemplo: PROAE ou Coordenação do curso.]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você considera que a grade curricular do seu curso é adequada ao que se exige no mercado de trabalho?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação à cadeia de pré-requisitos das disciplinas do curso, você considera adequada?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação aos critérios de avaliação do desempenho do aluno, você considera adequado?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação à infraestrutura da instituição como laboratórios, bibliotecas, equipamentos de informática e etc, você considera adequada?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação aos professores, você considera que os mesmos apresentam deficiências pedagógicas, desinteresse ou outros problemas?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você considera que as carreiras relacionadas ao curso são socialmente reconhecidas?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação ao mercado, você considera que o profissional formado no curso que você escolheu, é pago adequadamente?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Durante o período em que você estava na universidade, seus pais eram casados?]","Ao ingressar na universidade, qual era a renda mensal da sua família?","Em relação à sua mãe, qual o nível de escolaridade dela?","Em relação ao seu pai, qual o nível de escolaridade dele?"
"2022/04/29 4:55:53 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2009.2","2013.1","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Ceará ","Sim","Não","Feminino","Branco","Solteiro","19 anos","Não","Não","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Acima de 3000 reais","Ensino superior Completo","Ensino superior Completo"
"2022/04/29 4:55:55 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2009.2","2013.1","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Privada","","Pública","Municipal","Ceará ","Sim","Sim","Feminino","Branco","Solteiro","17 anos","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Entre 1001 e 1500 reais","Ensino primário incompleto","Ensino primário incompleto"
"2022/04/29 5:10:13 PM GMT-3","Evadido/Desistente","","","Biotecnologia","Diurno","2015.1","2019.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró/Rio Grande do Norte","Eu já morava na mesma cidade","Não","Masculino","Negro","Solteiro","17 anos","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Acima de 3000 reais","Ensino médio completo","Ensino médio completo"
"2022/04/29 5:15:17 PM GMT-3","Evadido/Desistente","","","Biotecnologia","Diurno","2010.2","2015.1","Reprovado em uma disciplina","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Natal/RN","Sim","Não","Feminino","Branco","Solteiro","18 anos","Não","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Entre 2501 e 3000 reais","Pós-graduação completa","Ensino superior Completo"
"2022/04/29 5:22:07 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2010.2","2014.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Mossoró/Rn","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","18 anos","Não","Não","Sim","Não","Não","Não","Não","Sim","Não","Não","Não","Sim","Entre 1501 e 2000 reais","Ensino médio incompleto","Ensino fundamental incompleto"
"2022/04/29 5:24:49 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2014.2","2019.2","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Escola Estadual","Privada","","Morada Nova/ Ceará ","Sim","Não","Masculino","Branco","Solteiro","18 anos","Não","Não","Sim","Não","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Entre 2501 e 3000 reais","Ensino médio completo","Ensino médio completo"
"2022/04/29 5:26:32 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2010.2","2014.2","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Limoeiro do Norte/Ceará ","Sim","Não","Masculino","Pardo","Solteiro","18 anos","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Não","Sim","Entre 2501 e 3000 reais","Ensino médio completo","Ensino médio completo"
"2022/04/29 5:30:48 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2012.1","2016.1","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Privada","","Pública","Escola Estadual","Porto Velho- Rondônia","Sim","Não","Feminino","Negro","Solteiro","Entre 20 e 25 anos","Não","Não","Sim","Sim","Não","Não","Sim","Não","Sim","Não","Não","Sim","Entre 2501 e 3000 reais","Ensino médio completo","Ensino superior Completo"
"2022/04/29 5:38:08 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2010.1","2014.2","Reprovado em cinco ou mais disciplinas","Não, a UFERSA foi a única Universidade que consegui ingressar","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Privada","","Recife-PE","Sim","Sim","Masculino","Pardo","Solteiro","18 anos","Não","Não","Sim","Não","Não","Não","Não","Não","Sim","Não","Não","Sim","Entre 1001 e 1500 reais","Ensino superior Completo","Ensino fundamental Completo"
"2022/04/29 5:46:56 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2011.2","2016.2","Reprovado em uma disciplina","Não, a UFERSA foi  a minha segunda opção de Universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Instituto Federal","Privada","","Iguatu/Ceará","Sim","Não","Masculino","Branco","Solteiro","19 anos","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Não","Não","Não","Entre 1501 e 2000 reais","Ensino médio completo","Ensino fundamental Completo"
"2022/04/29 5:49:39 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2009.2","2013.1","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha terceira opção de Universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Tabuleiro do Norte/Ceará","Sim","Não","Masculino","Branco","Solteiro","18 anos","Não","Não","Sim","Sim","Não","Sim","Não","Não","Sim","Não","Sim","Sim","Acima de 3000 reais","Ensino médio completo","Ensino fundamental Completo"
"2022/04/29 5:55:25 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2011.2","2016.1","Reprovado em três disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Limoeiro do Norte / CE","Sim","Não","Masculino","Branco","Solteiro","18 anos","Não","Não","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Não","Sim","Entre 2501 e 3000 reais","Ensino médio completo","Ensino fundamental incompleto"
"2022/04/29 6:00:43 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2010.2","2014.2","Reprovado em uma disciplina","Sim, sempre quis cursar o ensino superior na UFERSA","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Pública","Municipal","Mossoró/RN","Eu já morava na mesma cidade","Não","Masculino","Branco","Solteiro","18 anos","Não","Não","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Não","Entre 1001 e 1500 reais","Ensino médio completo","Ensino médio completo"
"2022/04/29 6:03:06 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2017.1","2021.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Governador Dix-Sept Rosado, Rio Grande do Norte ","Não","Não","Masculino","Branco","Solteiro","17 anos","Não","Não","Sim","Não","Não","Não","Não","Não","Sim","Não","Não","Sim","Acima de 3000 reais","Pós-graduação completa","Ensino médio completo"
"2022/04/29 6:05:45 PM GMT-3","Evadido/Desistente","","","Biotecnologia","Diurno","2015.1","2019.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró/RN","Eu já morava na mesma cidade","Não","Feminino","Negro","Solteiro","18 anos","Não","Não","Sim","Sim","Sim","Não","Não","Sim","Sim","Não","Não","Não","Entre 1501 e 2000 reais","Ensino médio completo","Ensino fundamental Completo"
"2022/04/29 6:06:12 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2015.1","2019.2","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró/RN","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","17 anos","Não","Não","Sim","Sim","Não","Não","Não","Não","Sim","Não","Não","Não","Acima de 3000 reais","Ensino superior Completo","Pós-graduação completa"
"2022/04/29 6:10:32 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2018.1","Em Andamento ","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Escola Estadual","Privada","","Angicos / RN","Sim","Não","Feminino","Branco","Solteiro","Entre 20 e 25 anos","Não","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Não","Não","Não","Entre 2501 e 3000 reais","Ensino superior Completo","Ensino superior Completo"
"2022/04/29 6:22:12 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2009.2","2013.1","Reprovado em uma disciplina","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró/RN","Não","Não","Masculino","Pardo","Solteiro","17 anos","Não","Não","Sim","Não","Não","Sim","Sim","Não","Sim","Não","Não","Sim","Acima de 3000 reais","Ensino médio incompleto","Ensino fundamental incompleto"
"2022/04/29 6:29:50 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2015.1","2018.2","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Pública","Escola Estadual","Mossoro RN","Eu já morava na mesma cidade","Não","Feminino","Pardo","Solteiro","17 anos","Não","Não","Sim","Não","Não","Não","Sim","Não","Sim","Não","Não","Sim","Entre 2501 e 3000 reais","Ensino médio completo","Ensino médio completo"
"2022/04/29 6:50:06 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2012.2","2016.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Russas,Ce","Sim","Não","Feminino","Branco","Solteiro","17 anos","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Não","Entre 501 e 1000 reais","Ensino médio completo","Ensino médio completo"
"2022/04/29 7:05:01 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2011.1","2014.2","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Escola Estadual","Pública","Escola Estadual","Tabuleiro do Norte - CE","Sim","Não","Masculino","Branco","Solteiro","","Não","Não","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Não","Sim","Entre 1001 e 1500 reais","Ensino médio completo","Ensino fundamental incompleto"
"2022/04/29 7:07:49 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2020.2","2016.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró","Eu já morava na mesma cidade","Não","Feminino","Negro","Solteiro","17 anos","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Não","Sim","Acima de 3000 reais","Ensino médio incompleto","Ensino superior incompleto"
"2022/04/29 7:14:58 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2012.1","2016.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Escola Estadual","Pública","Municipal","Mossoro RN","Sim","Não","Feminino","Prefiro não informar","Solteiro","Entre 20 e 25 anos","Não","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Não","Não","Sim","Entre 1501 e 2000 reais","Ensino médio completo","Ensino fundamental Completo"
"2022/04/29 7:23:22 PM GMT-3","Evadido/Desistente","","","Biotecnologia","Diurno","2010.2","2010.2","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Mossoro - RN","Eu já morava na mesma cidade","Não","Masculino","Branco","Solteiro","18 anos","Não","Não","Não","Não","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Acima de 3000 reais","Ensino médio completo","Ensino superior incompleto"
"2022/04/29 7:55:47 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2013.2","Concluí em 2018.2","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Escola Estadual","Pública","Municipal","Rio Grande do Norte","Sim","Sim","Feminino","Pardo","Solteiro","18 anos","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Entre 2001 e 2500 reais","Ensino fundamental incompleto","Ensino primário incompleto"
"2022/04/29 8:12:44 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2011.1","2014.2","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Limoeiro do Norte - Ceará ","Sim","Não","Feminino","Pardo","Solteiro","17 anos","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Entre 1001 e 1500 reais","Ensino médio completo","Ensino fundamental Completo"
"2022/04/29 8:15:07 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2011.1","2014.2","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Limoeiro do Norte/Ceará","Sim","Não","Feminino","Pardo","Solteiro","18 anos","Não","Não","Sim","Não","Sim","Sim","Não","Sim","Não","Não","Não","Sim","Entre 501 e 1000 reais","Ensino superior Completo","Ensino médio completo"
"2022/04/29 8:22:11 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2015.2","2018.2","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró/RN","Eu já morava na mesma cidade","Não","Masculino","Branco","Solteiro","18 anos","Não","Sim","Sim","Sim","Não","Não","Não","Não","Sim","Sim","Sim","Sim","Acima de 3000 reais","Ensino superior Completo","Ensino superior Completo"
"2022/04/29 8:40:36 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2010.2","2014.2","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Privada","Bolsista escola privada","Mossoró-RN","Eu já morava na mesma cidade","Não","Masculino","Branco","Solteiro","Entre 20 e 25 anos","Não","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Sim","Entre 2501 e 3000 reais","Ensino fundamental incompleto","Ensino médio completo"
"2022/04/29 8:53:32 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2012.1","2016.2","Reprovado em duas disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Ceará ","Sim","Não","Feminino","Branco","Solteiro","17 anos","Não","Não","Sim","Sim","Não","Não","Sim","Não","Sim","Não","Não","Sim","Acima de 3000 reais","Ensino médio completo","Ensino fundamental incompleto"
"2022/04/29 8:57:05 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2011.1","2016.2","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Iguatu/CE","Sim","Não","Masculino","Pardo","Solteiro","17 anos","Não","Não","Sim","Sim","Sim","Sim","Não","Não","Não","Não","Não","Não","Entre 2501 e 3000 reais","Ensino médio incompleto","Ensino fundamental incompleto"
