;Qual a sua situação atual em relação ao curso de CeT?;Qual Campus e turno você pertence / pertenceu?;Em qual ano e semestre você ingressou no curso de CeT? Exemplo 2010.1;Em qual semestre você concluiu, desistiu ou encontra-se atualmente?Exemplo 2015.2;Com relação ao ingresso no curso de CeT, esta sempre foi a sua primeira opção de curso?;Antes de ingressar no curso você já possuía algum conhecimento prévio na área?;Antes de ingressar na universidade, em que tipo de escola você cursou o ensino médio?;Caso tenha estudado em escola pública, qual foi o tipo de instituição?;Antes de ingressar no ensino médio, em que tipo de escola você cursou o ensino fundamental?;Caso tenha estudado em escola pública, qual foi o tipo de instituição?_1;Antes de entrar na universidade em qual cidade/estado você morava?;Ao ingressar na universidade você se mudou para morar na mesma cidade do campus que se matriculou?;Você chegou a morar na vila acadêmica?;Qual seu gênero?;A qual raça você se considera pertencer?;Qual seu Estado Civil?;Você tem filhos;Você trabalha?;Qual a renda mensal da sua família ao ingressar na universidade?;Você foi contemplado alguma bolsa durante o período que esteve no curso?;Em relação ao seu aproveitamento acadêmico, até o segundo semestre do curso você foi?;Você considera que durante o período que esteve no curso teve o devido acompanhamento da universidade? Exemplo: PROAE ou Coordenação docurso.;Você considera que a grade curricular do curso de CeT é adequado ao que se exige no mercado de trabalho?;Em relação à cadeia de pré-requisitos das disciplinas do curso, você considera adequado?;Em relação aos critérios de avaliação do desempenho do aluno, você considera adequado?;Em relação à infraestrutura da instituição como laboratórios, bibliotecas, equipamentos de informática e etc, você considera adequada?;Em relação aos professores, você considera que os mesmos apresentam deficiências pedagógicas, desinteresse ou outros problemas?;Você considera que as carreiras relacionadas ao curso de CeT são socialmente reconhecidas?;Em relação ao mercado, você considera que o profissional formado em CeT é pago adequadamente?;Em relação aos seus pais, durante o período que você estava no curso, eles eram casados?;Em relação a sua mãe, qual o nível de escolaridade dela?;Em relação a seu pai, qual o nível de escolaridade dele?;cod_aluno;Ano de início;Ano fim;tempo no campus
185;Evadido/Desistente;Mossoró - Diurno;2017.2;2020.1;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Escola Estadual;Serra do Mel/RN;Não;Não;Masculino;Branco;Solteiro;Não;Sim;Acima de 3000 reais;Não;Reprovado em duas disciplinas;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Pós-graduação completa;Ensino fundamental incompleto;186;2017;2020;3.0
186;Concludente/Egresso;Mossoró - Noturno;2020.2;2021.2;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Escola Estadual;Mossoró/ RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Casado;Sim;Sim;Entre 1001 e 1500 reais;Não;Reprovado em quatro disciplinas;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Ensino fundamental incompleto;Ensino fundamental incompleto;187;2020;2021;1.0
187;Concludente/Egresso;Mossoró - Noturno;2018.1;2021.1;Não, esse foi o curso que consegui ingressar;Sim;Pública;Instituto Federal;Pública;Escola Estadual;Apodi;Não;Não;Masculino;Branco;Solteiro;Não;Não;Entre 1501 e 2000 reais;Não;Reprovado em cinco ou mais disciplinas;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Ensino médio completo;Ensino médio completo;188;2018;2021;3.0
188;Evadido/Desistente;Mossoró - Diurno;2010.1;2010.1;Não, esse foi o curso que consegui ingressar;Não;privada;;Privada;;Mossoró/RN;Eu já morava na mesma cidade;Não;Feminino;Negro;Solteiro;Não;Sim;Acima de 3000 reais;Não;Reprovado em duas disciplinas;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Ensino médio incompleto;Ensino superior incompleto;189;2010;2010;0.0
189;Concludente/Egresso;Caraúbas - Noturno;2011.1;2017.2;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Escola Estadual;Apodi-RN;Sim;Não;Masculino;Pardo;Solteiro;Não;Sim;Acima de 3000 reais;Sim;Reprovado em uma disciplina;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Ensino superior Completo;Ensino fundamental incompleto;190;2011;2017;6.0
190;Concludente/Egresso;Mossoró - Diurno;2020.1;2021.1;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;Ceará;Sim;Não;Feminino;Pardo;Solteiro;Não;Não;Menos de 500 reais;Sim;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Ensino médio completo;Ensino superior Completo;191;2020;2021;1.0
191;Concludente/Egresso;Caraúbas - Diurno;2021.1;2021.2;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Escola Estadual;Acari, Rio Grande do Norte ;Não;Não;Feminino;Negro;Solteiro;Não;Não;Menos de 500 reais;Não;Reprovado em uma disciplina;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Ensino médio completo;Ensino fundamental incompleto;192;2021;2021;0.0
192;Concludente/Egresso;Mossoró - Diurno;2012.1;2020.1;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Municipal;Mossoró/RN;Eu já morava na mesma cidade;Não;Feminino;Branco;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Não;Aprovado em todas as disciplinas;Não;Não;Não;Não;Sim;Sim;Sim;Não;Não;Ensino médio incompleto;Ensino fundamental Completo;193;2012;2020;8.0
193;Concludente/Egresso;Mossoró - Diurno;2011.1;2016.1;Não, esse foi o curso que consegui ingressar;Não;privada;;Pública;Municipal;Areia Branca;Sim;Não;Feminino;Branco;Casado;Não;Sim;Entre 2501 e 3000 reais;Não;Reprovado em duas disciplinas;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Ensino superior Completo;Ensino médio completo;194;2011;2016;5.0
194;Concludente/Egresso;Mossoró - Diurno;2020.2;2021.1;Não, esse foi o curso que consegui ingressar;Sim;privada;;Privada;;Fortaleza/CE;Não;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Sim;Aprovado em todas as disciplinas;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Ensino superior Completo;Ensino médio completo;195;2020;2021;1.0
